ds;y
2022-7-18 11:10:0;1
2022-7-18 11:20:0;2
2022-7-18 11:30:0;1
2022-7-18 11:40:0;3
2022-7-18 11:50:0;4
2022-7-18 12:0:0;5
2022-7-18 12:10:0;6
2022-7-18 12:20:0;2
2022-7-18 12:29:0;1
2022-7-18 12:30:0;6
2022-7-18 12:40:0;1
2022-7-18 12:50:0;1
2022-7-18 13:0:0;2
2022-7-18 13:10:0;1
2022-7-18 13:20:0;1
2022-7-18 13:30:0;1
2022-7-18 13:40:0;1
2022-7-18 13:50:0;1
2022-7-18 14:0:0;5
2022-7-18 14:10:0;1
2022-7-18 14:20:0;1
2022-7-18 14:30:0;2
2022-7-18 14:40:0;2
2022-7-18 15:0:0;5
2022-7-18 15:20:0;1
2022-7-18 15:30:0;2
2022-7-18 15:40:0;1
2022-7-18 15:45:0;1
2022-7-18 15:50:0;1
2022-7-18 16:0:0;4
2022-7-18 16:10:0;2
2022-7-18 16:30:0;2
2022-7-18 16:40:0;1
2022-7-18 16:50:0;1
2022-7-18 17:0:0;12
2022-7-18 17:10:0;3
2022-7-18 17:15:0;1
2022-7-18 17:20:0;4
2022-7-18 17:30:0;7
2022-7-18 17:50:0;3
2022-7-18 17:56:0;1
2022-7-18 18:0:0;18
2022-7-18 18:10:0;4
2022-7-18 18:11:0;1
2022-7-18 18:20:0;2
2022-7-18 18:30:0;2
2022-7-18 18:40:0;1
2022-7-18 18:50:0;2
2022-7-18 19:0:0;2
2022-7-18 19:10:0;1
2022-7-18 19:20:0;2
2022-7-18 19:30:0;3
2022-7-18 19:50:0;2
2022-7-18 2:0:0;1
2022-7-18 2:10:0;1
2022-7-18 20:0:0;2
2022-7-18 20:10:0;3
2022-7-18 20:30:0;3
2022-7-18 20:40:0;2
2022-7-18 20:50:0;1
2022-7-18 21:0:0;4
2022-7-18 21:10:0;1
2022-7-18 21:20:0;1
2022-7-18 21:30:0;1
2022-7-18 21:50:0;1
2022-7-18 22:0:0;1
2022-7-18 22:10:0;1
2022-7-18 22:30:0;1
2022-7-18 23:50:0;1
2022-7-18 3:20:0;2
2022-7-18 3:40:0;1
2022-7-18 4:20:0;1
2022-7-18 4:50:0;1
2022-7-18 5:0:0;1
2022-7-18 5:20:0;2
2022-7-18 6:0:0;8
2022-7-18 6:10:0;2
2022-7-18 6:20:0;4
2022-7-18 6:30:0;10
2022-7-18 6:40:0;3
2022-7-18 6:50:0;3
2022-7-18 7:0:0;6
2022-7-18 7:10:0;1
2022-7-18 7:20:0;2
2022-7-18 7:30:0;3
2022-7-18 7:40:0;3
2022-7-18 7:50:0;3
2022-7-18 8:0:0;9
2022-7-18 8:20:0;1
2022-7-18 8:30:0;2
2022-7-18 8:40:0;2
2022-7-18 8:50:0;6
2022-7-18 9:0:0;2
2022-7-18 9:10:0;2
2022-7-18 9:20:0;5
2022-7-18 9:30:0;1
2022-7-18 9:40:0;3
2022-7-18 9:50:0;1
2022-7-19 0:10:0;1
2022-7-19 0:30:0;2
2022-7-19 0:50:0;1
2022-7-19 1:50:0;1
2022-7-19 10:0:0;6
2022-7-19 10:12:0;1
2022-7-19 10:15:0;1
2022-7-19 10:20:0;1
2022-7-19 10:30:0;1
2022-7-19 10:40:0;1
2022-7-19 11:0:0;6
2022-7-19 11:20:0;1
2022-7-19 11:30:0;4
2022-7-19 11:40:0;3
2022-7-19 11:50:0;4
2022-7-19 12:0:0;5
2022-7-19 12:10:0;1
2022-7-19 12:20:0;2
2022-7-19 12:30:0;6
2022-7-19 12:50:0;2
2022-7-19 13:0:0;3
2022-7-19 13:10:0;1
2022-7-19 13:20:0;1
2022-7-19 13:30:0;2
2022-7-19 13:50:0;1
2022-7-19 14:0:0;4
2022-7-19 14:10:0;1
2022-7-19 14:30:0;5
2022-7-19 14:50:0;2
2022-7-19 15:0:0;3
2022-7-19 15:10:0;3
2022-7-19 15:20:0;4
2022-7-19 15:30:0;2
2022-7-19 15:50:0;3
2022-7-19 16:0:0;5
2022-7-19 16:10:0;1
2022-7-19 16:20:0;3
2022-7-19 16:30:0;6
2022-7-19 16:40:0;1
2022-7-19 16:50:0;3
2022-7-19 17:0:0;13
2022-7-19 17:10:0;4
2022-7-19 17:20:0;6
2022-7-19 17:30:0;12
2022-7-19 17:40:0;2
2022-7-19 18:0:0;21
2022-7-19 18:10:0;4
2022-7-19 18:15:0;1
2022-7-19 18:20:0;1
2022-7-19 18:30:0;5
2022-7-19 18:40:0;1
2022-7-19 19:0:0;7
2022-7-19 19:10:0;3
2022-7-19 19:20:0;1
2022-7-19 19:30:0;5
2022-7-19 19:40:0;1
2022-7-19 19:50:0;1
2022-7-19 2:0:0;5
2022-7-19 20:0:0;2
2022-7-19 20:10:0;2
2022-7-19 20:30:0;5
2022-7-19 20:40:0;1
2022-7-19 20:50:0;1
2022-7-19 21:0:0;4
2022-7-19 21:10:0;1
2022-7-19 21:20:0;1
2022-7-19 21:30:0;4
2022-7-19 21:40:0;1
2022-7-19 22:0:0;2
2022-7-19 22:10:0;1
2022-7-19 23:0:0;1
2022-7-19 3:30:0;1
2022-7-19 4:30:0;1
2022-7-19 4:40:0;1
2022-7-19 5:0:0;1
2022-7-19 5:10:0;1
2022-7-19 5:20:0;2
2022-7-19 5:30:0;1
2022-7-19 5:40:0;1
2022-7-19 6:0:0;7
2022-7-19 6:10:0;2
2022-7-19 6:20:0;4
2022-7-19 6:30:0;3
