FECHA;TIME;y
2022-07-21;20:30:00;1
2022-07-21;20:40:00;1
2022-07-21;20:50:00;1
2022-07-21;22:00:00;1
2022-07-22;06:40:00;1
2022-07-22;07:00:00;2
2022-07-22;07:50:00;2
2022-07-22;08:10:00;4
2022-07-22;08:20:00;2
2022-07-22;08:30:00;4
2022-07-22;08:40:00;1
2022-07-22;08:50:00;1
2022-07-22;09:00:00;1
2022-07-22;09:20:00;1
2022-07-22;09:40:00;2
2022-07-22;10:00:00;2
2022-07-22;10:10:00;2
2022-07-22;10:20:00;1
2022-07-22;10:30:00;1
2022-07-22;10:40:00;3
2022-07-22;11:00:00;2
2022-07-22;11:10:00;1
2022-07-22;11:20:00;1
2022-07-22;11:30:00;3
2022-07-22;11:40:00;1
2022-07-22;11:50:00;2
2022-07-22;12:10:00;1
2022-07-22;12:40:00;1
2022-07-22;12:50:00;1
2022-07-22;13:00:00;1
2022-07-22;13:10:00;2
2022-07-22;13:20:00;1
2022-07-22;13:40:00;3
2022-07-22;14:10:00;3
2022-07-22;14:40:00;3
2022-07-22;15:00:00;1
2022-07-22;15:20:00;1
2022-07-22;15:30:00;1
2022-07-22;15:50:00;2
2022-07-22;16:20:00;1
2022-07-22;16:30:00;2
2022-07-22;16:50:00;1
2022-07-22;17:00:00;1
2022-07-22;17:10:00;1
2022-07-22;17:30:00;1
2022-07-22;17:40:00;1
2022-07-22;18:00:00;1
2022-07-22;18:20:00;1
2022-07-22;19:20:00;1
2022-07-22;19:50:00;2
2022-07-23;06:50:00;1
2022-07-23;07:00:00;1
2022-07-23;07:50:00;1
2022-07-23;08:00:00;1
2022-07-23;08:30:00;2
2022-07-23;08:40:00;1
2022-07-23;08:50:00;2
2022-07-23;09:00:00;2
2022-07-23;09:10:00;1
2022-07-23;09:20:00;1
2022-07-23;09:30:00;1
2022-07-23;09:40:00;1
2022-07-23;09:50:00;1
2022-07-23;10:00:00;3
2022-07-23;10:10:00;1
2022-07-23;10:40:00;1
2022-07-23;11:00:00;1
2022-07-23;11:10:00;1
2022-07-23;11:20:00;1
2022-07-23;11:30:00;1
2022-07-23;11:40:00;2
2022-07-23;11:50:00;3
2022-07-23;12:00:00;4
2022-07-23;12:20:00;2
2022-07-23;12:30:00;1
2022-07-23;12:40:00;1
2022-07-23;13:30:00;1
2022-07-23;13:50:00;3
2022-07-23;14:10:00;1
2022-07-23;14:20:00;1
2022-07-23;14:30:00;2
2022-07-23;14:50:00;1
2022-07-23;15:00:00;1
2022-07-23;15:30:00;1
2022-07-23;15:50:00;1
2022-07-23;16:10:00;1
2022-07-23;16:30:00;1
2022-07-23;16:50:00;1
2022-07-23;17:00:00;1
2022-07-23;17:10:00;1
2022-07-23;17:20:00;1
2022-07-23;17:30:00;1
2022-07-23;18:00:00;2
2022-07-23;18:10:00;1
2022-07-23;18:20:00;1
2022-07-23;18:30:00;1
2022-07-23;18:40:00;1
2022-07-23;19:00:00;1
2022-07-23;19:20:00;1
2022-07-23;19:30:00;1
2022-07-25;06:50:00;1
2022-07-25;07:00:00;2
2022-07-25;07:30:00;1
2022-07-25;07:50:00;3
2022-07-25;08:00:00;2
2022-07-25;08:10:00;2
2022-07-25;08:20:00;3
2022-07-25;08:30:00;2
2022-07-25;08:40:00;2
2022-07-25;08:50:00;2
2022-07-25;09:00:00;3
2022-07-25;09:10:00;1
2022-07-25;09:20:00;2
2022-07-25;09:30:00;2
2022-07-25;09:50:00;2
2022-07-25;10:10:00;1
2022-07-25;10:20:00;1
2022-07-25;10:30:00;1
2022-07-25;11:00:00;1
2022-07-25;11:10:00;2
2022-07-25;11:20:00;1
2022-07-25;11:30:00;2
2022-07-25;11:40:00;1
2022-07-25;11:50:00;2
2022-07-25;12:00:00;1
2022-07-25;12:10:00;1
2022-07-25;12:20:00;3
2022-07-25;12:30:00;1
2022-07-25;12:50:00;1
2022-07-25;13:00:00;1
2022-07-25;13:30:00;2
2022-07-25;13:40:00;2
2022-07-25;13:50:00;1
2022-07-25;14:50:00;1
2022-07-25;16:10:00;1
2022-07-25;16:20:00;1
2022-07-25;18:00:00;2
2022-07-26;07:00:00;1
2022-07-26;07:20:00;2
2022-07-26;07:50:00;1
2022-07-26;08:00:00;2
2022-07-26;08:10:00;1
2022-07-26;08:20:00;3
2022-07-26;08:40:00;2
2022-07-26;08:50:00;3
2022-07-26;09:00:00;3
2022-07-26;09:10:00;3
2022-07-26;09:30:00;1
2022-07-26;09:40:00;1
2022-07-26;10:00:00;2
2022-07-26;10:10:00;2
2022-07-26;10:40:00;1
